Id,Status ID,Type,Serial,RFID Tag,Customer,Account Number,Property ID,Lot,Unit,Street No.,Street,Suburb,Postcode,Zone,Last Updated,Last Read,Identified by,Distance from Site,Lat,Lng,Site Category
5509094,1,240L Street Litter,1,,None,,,,,2843,Point Nepean Road,BLAIRGOWRIE,3942,,05-09-2019 10:00,13/04/21 08:24,Geocoder,20,-38.36098862,144.7784882,Street Litter
5776114,2,240L Street Litter,TDY240,,None,,,,,,,,,,21-11-2019 11:00,,Geocoder,,0,0,
5776115,2,240L Street Litter,TDY240,,None,,,,,,,,,,21-11-2019 11:00,,Geocoder,,0,0,
5776116,2,240L Street Litter,TDY240,,None,,,,,,,,,,21-11-2019 11:00,,Geocoder,,0,0,
5776117,2,240L Street Litter,TDY240,,None,,,,,,,,,,21-11-2019 11:00,,Geocoder,,0,0,
6848639,1,240L Street Litter,100,,None,,930,,,19,Pauls Lane - Playground,HASTINGS,3915,,10-06-2020 10:00,,Geocoder,,0,0,Street Litter
6848640,1,240L Street Recycling,101,,None,,930,,,19,Pauls Lane - Playground,HASTINGS,3915,,10-06-2020 10:00,,Geocoder,,0,0,Street Litter
23293934,1,240L Street Litter,0,,None,,869,,,,Esplanade - Car Park & Toilet Block (Opposite 506) Beach Side,MOUNT MARTHA,3934,,07-09-2023 10:00,25/08/26 05:19,Geocoder,39,-38.263694,145.01622,Street Litter
23464706,1,240L Street Litter,378,,None,,378,,,17,Marine Parade - Hastings Preschool,HASTINGS,3915,,06-10-2023 11:00,26/08/26 07:41,Geocoder,33,-38.30823135,145.1951904,Street Litter
23624267,1,240L Street Litter,NA,,None,,261,,,8,Acorn Way - Dog Park *must reverse down*,BAXTER,3911,,17-11-2023 11:00,24/08/26 06:27,Geocoder,16,-38.191356,145.156448,Street Litter
26226079,1,120L Street Recycling,0,,None,,789,,,700,Derril Road - Moorooduc Rec Reserve (R),MOOROODUC,3933,,30-08-2024 10:00,25/05/26 12:46,Geocoder,7,-38.255905,145.104446,Street Litter
27316450,2,240L Street Litter,TBA,,None,,,,,,,,,,21-10-2024 11:00,,Geocoder,,0,0,
27316790,2,240L Street Litter,TBC,,None,,,,,,,,,,21-10-2024 11:00,,Geocoder,,0,0,
27581949,2,240L Street Litter,N/A,,None,,,,,,,,,,05-05-2026 10:00,15/11/24 06:30,Geocoder,,-38.37243271,144.8698273,
27581950,2,240L Street Recycling,N/A,,None,,,,,,,,,,05-05-2026 10:00,14/11/24 05:15,Geocoder,,-38.372463,144.869827,
29068882,2,240L Street Litter,N/A,,None,,,,,,,,,,05-05-2026 10:00,25/04/26 11:04,Geocoder,,-38.22370911,145.0527191,
