Site Id,Account Number,Category,Customer,Property ID,Lot,Unit,Street Number,Street,Suburb,Postcode,Zone,Lat,Lng,Total Bins,Run Flags,Parent Site ID,Parent Site Address,120L Street Recycling,240L Street Litter,240L Street Recycling,Count of 120L Street Recycling,Count of 240L Street Litter,Count of 240L Street Recycling,All Runs for Deliveries,All Runs for Street Litter,All Runs for Street Recycling
4045090,,Street Litter,None,1,,,2834,Point Nepean Road - at Toilet Block,BLAIRGOWRIE,3942,,-38.360802,144.779615,0,,,,,,,0,0,0,,,
4045091,,Street Litter,None,2,,,2815,Point Nepean Road - at Fletchers,BLAIRGOWRIE,3942,,-38.361505,144.78031,0,,,,,,,0,0,0,,,
4045092,,Street Litter,None,3,,,2823,Point Nepean Road - Opp Pharmacy in carpark,BLAIRGOWRIE,3942,,-38.361252,144.779854,0,,,,,,,0,0,0,,,
4045093,,Street Litter,None,4,,,2823,Point Nepean Road - Pharmacy,BLAIRGOWRIE,3942,,-38.361393,144.779748,0,,,,,,,0,0,0,,,
4045094,,Street Litter,None,5,,,2835,Point Nepean Road - at IGA,BLAIRGOWRIE,3942,,-38.361224,144.779209,0,,,,,,,0,0,0,,,
4045095,,Street Litter,None,6,,,2843,Point Nepean Road - at Medical Centre,BLAIRGOWRIE,3942,,-38.361096,144.778677,0,,,,,,,0,0,0,,,
4045096,,Street Litter,None,7,,,2819,Point Nepean Road - Real Estate,BLAIRGOWRIE,3942,,-38.361454,144.77992,0,,,,,,,0,0,0,,,
4045097,,Street Litter,None,8,,,2849,Point Nepean Road - at Post Office,BLAIRGOWRIE,3942,,-38.361037,144.77843,0,,,,,,,0,0,0,,,
4045098,,Street Litter,None,9,,,2,Wilson Road - R Penman Reserve,BLAIRGOWRIE,3942,,-38.361488,144.778533,0,,,,,,,0,0,0,,,
4045099,Harry Blythe Playground Reserve,Street Litter,None,1200,,,25-35,Adelaide Street - Harry Blythe Playground Reserve,BLAIRGOWRIE,3942,,-38.366757,144.785452,0,,,,,,,0,0,0,,242 - SOUTH THU,
4045100,,Street Litter,None,11,,,470,Melbourne Road - Stringer Road Reserve,BLAIRGOWRIE,3942,,-38.361842,144.764661,0,,,,,,,0,0,0,,,
4045101,,Street Litter,None,12,,,10,William Road - Hall,BLAIRGOWRIE,3942,,-38.363766,144.784259,0,,,,,,,0,0,0,,,
4045102,,Street Litter,None,13,,,10,William Road - Senior Citizens,BLAIRGOWRIE,3942,,-38.363766,144.784259,0,,,,,,,0,0,0,,,
4045103,,Street Litter,None,14,,,3005,Point Nepean Road - BBQ area opp. Hughes Rd,BLAIRGOWRIE,3942,,-38.353915,144.763056,0,,,,,,,0,0,0,,,
4045104,,Street Litter,None,15,,,2900,Point Nepean Road - Marina Carpark,BLAIRGOWRIE,3942,,-38.358595,144.771602,0,,,,,,,0,0,0,,,
